"Ilmoituksen Hilma-numero";"Ilmoituksen TED-numero";"Julkaistu (UTC)";"Hankintaprojektin tunniste";"Hankintamenettelyn tunniste";"Ilmoitustyyppi";"Nimi (fi)";"Nimi (en)";"Nimi (sv)";"Nimi (other)";"CPV-koodi";"Organisaation nimi (fi)";"Organisaation nimi (en)";"Organisaation nimi (sv)";"Organisaation nimi (other)";"Yksikkö / alaorganisaatio";"Y-tunnus";"Organisaation osoite";"Suorituspaikan NUTS-koodi";"Suorituspaikan lisätiedot";"Määräaika (UTC)";"Dynaaminen hankintajärjestelmä";"Puitejärjestely";"Arvioitu arvo";"Valuutta";"Hankinnan valmisteluvaiheessa on kartoitettu tarve/mahdollisuudet uusiin ratkaisuihin tai niiden kehittämiseen";"Tavoiteltava ratkaisu tai sen osa on meille ostajana uusi.";"Tavoiteltava ratkaisu tai sen osa on markkinoille tai toimialalle uusi.";"Tällä hankinnalla edistetään energiatehokkuutta";"Tällä hankinnalla edistetään vähähiilisyyttä.";"Tällä hankinnalla edistetään kiertotaloutta.";"Tällä hankinnalla edistetään luonnon monimuotoisuutta.";"Tällä hankinnalla edistetään kestävää ruokajärjestelmää.";"Käytetäänkö hankinnassa Motivan, ympäristömerkkien tai EU GPP kriteerejä?";"Tämä hankinta edistää oikeudenmukaisia työoloja.";"Tämä hankinta sisältää työllistämisehdon.";"Kuinka monta työ- ja oppisopimuspaikkaa hankinnalla arvioidaan syntyvän?";"Tässä hankinnassa käytetään vastuullisuuden vähimmäisvaatimuksia (Code of conduct).";"Tässä hankinnassa otetaan huomioon pienten ja keskisuurten yritysten osallistumismahdollisuudet%u200B";"Tässä hankinnassa on huomioitu palvelunkäyttäjien tai heitä edustavien tahojen osallistuminen hankinnan valmisteluun";"Menettelyn tyyppi";"Hankintalaji";"Voittaja yritys";"Hankinnan arvo";"Lisätiedot(fi)"
"2023-140037";;"2023-12-01T14:59:22.157Z";"95020";"0";"Kansallinen hankintailmoitus";"Vartiointipalvelut hyvinvointialueen kohteille Oulaisissa ja Haapavedellä ajalle 1.1.-31.12.2024, mahdollinen optio 1.1.- 31.12.2025 ";;;;"79710000, 79713000";"Pohjois-Pohjanmaan hyvinvointialue";;;;;"3221326-2";"PL 10 90029 POHDE FI";"FI1D9";"Pohjois-Pohjanmaa ";"2023-12-15T10:00:00Z";"Ei";"Ei";"0";;"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"";"Kyllä";"Ei";;"Kyllä";"Kyllä";"";"open";"services";"";;"Pyydämme tarjoustanne Pohjois-Pohjanmaan hyvinvointialueelle Oulaisiin ja Haapavedelle vartiointipalveluista ajalle 1.1.2023%u201331.12.2024 ja mahdolliselle optiokaudelle  1.1.2025-31.12.2025  tämän tarjouspyynnön ja sen  liitteiden mukaisesti.  Vartiointipalvelut Oulainen Vartiointipalvelut hyvinvointialueen kohteille Oulaisissa Vartiointipalvelut Haapavesi Vartiointipalvelut hyvinvointialueen kohteille Haapavedellä"
"2023-140010";;"2023-12-01T09:28:41.861Z";"95004";"0";"Kansallinen ennakkoilmoitus / markkinakartoitus";"Tietopyyntö: Kehitysvammaisten lasten ja nuorten vaativien asumispalvelujen ja lastensuojelun sijaishuollon hankinta";;;;"85300000";"Helsingin kaupungin sosiaali-, terveys- ja pelastustoimiala";;;;;"0201256-6";"Toinen linja 4 A 00530 Helsinki FI";"FI1";"Manner-Suomi ";"2023-12-15T12:00:00Z";"Ei";"Ei";"0";;"";"";"";"";"";"";"";"";"";"";"";;"";"";"";;"services";"";;"Kyseessä on vastaamispyyntö tietopyyntöön, ei ennakkoilmoitus, ei hankintailmoitus eikä tarjouspyyntö.  Helsingin kaupungin sosiaali-,  terveys- ja pelastustoimiala suunnittelee tarjouskilpailua vaativan/ erityistason kehitysvammaisten lasten ja nuorten asumispalvelusta, jossa on valmiudet tuottaa palvelua myös lastensuojelun tarpeisiin. Hankinnan kohteena on vammaisten asumispalvelu yhdistettynä sekä kehitysvammahuollon että lastensuojelun laitoshoidon osaamisella ja ymmärryksellä. Hankinnan kohteena voi olla sekä yksittäisiä asiakaspaikkoja että osastoja/yksiköitä. Tyypillinen yksikön koko on viisi lasta. Yksiköllä tulee olla molempien palvelujen tuottamiseen vaadittavat luvat ja tarvittava osaaminen.  Vammaisten lasten ja nuorten vaativalla asumispalvelulla tarkoitetaan pitkäaikaista, ympärivuorokautista palvelua erityisen vaativiin erityishuollon tarpeisiin. Lastensuojelun laitoshoidolla tarkoitetaan sijoitettujen lasten ympärivuorokautista laitoshoitoa. Vaativassa asumispalvelussa lapsia hoitaa koulutettu henkilökunta vuorotyössä. Vaativan asumispalvelun yksikössä on hoito-, ohjaus- ja kasvatustehtävässä olevaa henkilökuntaa enemmän lasta kohden kuin erityistason lastensuojelulaitoksessa. Yksikössä on suuntauduttu kehitysvammaisten lasten ja nuorten hoitoon, ohjaukseen ja kasvatukseen.   Palvelun kohderyhmänä voi olla vammaiset lapset tai lapset, joilla on neuropsykiatrisia tai erityisen vaikeita käyttäytymisongelmia. Lapsilla voi olla kognitiivisen toimintakyvyn vajausta tai muu vastaava sairaus tai vamma. Lapsilla voi olla psyykkisiä ongelmia, kommunikointi- ja oppimisongelmia, joihin liittyy erityisen vaikeita käyttäytymisongelmia ja väkivaltaista käytöstä. Lapsilla saattaa olla myös jatkuvan valvonnan ja aikuisen läsnäolon tarvetta.  Laadukkaana ja tuloksellisena palveluna pidetään asiakkaan tarpeisiin vastaavaa, tarpeen mukaan joustavaa ja asiakkaita arvostavaa palvelua. Tärkeänä arvona pidetään asiakaslähtöisyyttä ja toiminnan läpinäkyvyyttä. Palvelua toteutetaan lapsen asiakassuunnitelman mukaisesti. Palvelua toteutettaessa on lisäksi selvitettävä lapsen toivomukset ja mielipide sekä otettava ne huomioon lapsen iän ja kehitystason edellyttämällä tavalla.   Henkilöstövaatimuksena on vammaisten lasten asumispalvelussa ja lastensuojelun laitoshoidossa hyväksytyt ja vaaditut sosiaali- ja terveysalan koulutusvaatimukset. Lisäksi henkilöstöltä vaaditaan vankkaa kehitysvamma-alan osaamista.    Tietopyyntö ei velvoita hankintayksikköä suorittamaan varsinaista hankintaa tai toteuttamaan hankintaa tietopyynnössä kuvatulla tavalla.  Hankintayksikkö ei ole velvollinen ottamaan huomioon tietopyynnöllä saatuja vastauksia tarjouspyynnön valmistelussa.  Tietopyyntöön vastaamisesta ei makseta korvausta. Tietopyyntöön vastaaminen ei sido osallistujia tarjouskilpailuun osallistumiseen, eikä ole myöskään edellytyksenä myöhemmin varsinaiseen tarjouskilpailuun osallistumiselle.  Tietopyyntöön vastaaminen tai vastaamatta jättäminen ei vaikuta tarjoajan asemaan varsinaisessatarjouskilpailussa.  Tietopyynnöllä kerätyt tiedot säilyvät täysin luottamuksellisina ja niitä tullaan käyttämään ainoastaan hankinnan suunnitteluun. Annetut vastaukset tulevat vain hankintayksikön käyttöön.  TIETOPYYNTÖÖN VASTAAMINEN Palveluntuottaja voi osallistua tietopyyntöön lähettämällä määräaikaan 15.12.2023 klo 14 mennessä yhteystietonsa tällä tietopyynnöllä. Ilmoittautumisia ei oteta vastaan muulla tavalla.  Yhteystietonsa jättäneille lähetetään sähköpostitse lisätietoa palvelusta sekä tarkemmat tietopyyntökysymykset. Samassa sähköpostissa on määräaika kysymyksiin vastaamiseen.  Tarvittaessa järjestetään lisäksi erillinen markkinavuoropuhelutilaisuus.   Kyseessä on vastaamispyyntö tietopyyntöön, ei ennakkoilmoitus, ei hankintailmoitus eikä tarjouspyyntö.  Helsingin kaupungin sosiaali-,  terveys- ja pelastustoimiala suunnittelee tarjouskilpailua vaativan/ erityistason kehitysvammaisten lasten ja nuorten asumispalvelusta, jossa on valmiudet tuottaa palvelua myös lastensuojelun tarpeisiin. Hankinnan kohteena on vammaisten asumispalvelu yhdistettynä sekä kehitysvammahuollon että lastensuojelun laitoshoidon osaamisella ja ymmärryksellä. Hankinnan kohteena voi olla sekä yksittäisiä asiakaspaikkoja että osastoja/yksiköitä. Tyypillinen yksikön koko on viisi lasta. Yksiköllä tulee olla molempien palvelujen tuottamiseen vaadittavat luvat ja tarvittava osaaminen.  Vammaisten lasten ja nuorten vaativalla asumispalvelulla tarkoitetaan pitkäaikaista, ympärivuorokautista palvelua erityisen vaativiin erityishuollon tarpeisiin. Lastensuojelun laitoshoidolla tarkoitetaan sijoitettujen lasten ympärivuorokautista laitoshoitoa. Vaativassa asumispalvelussa lapsia hoitaa koulutettu henkilökunta vuorotyössä. Vaativan asumispalvelun yksikössä on hoito-, ohjaus- ja kasvatustehtävässä olevaa henkilökuntaa enemmän lasta kohden kuin erityistason lastensuojelulaitoksessa. Yksikössä on suuntauduttu kehitysvammaisten lasten ja nuorten hoitoon, ohjaukseen ja kasvatukseen.   Palvelun kohderyhmänä voi olla vammaiset lapset tai lapset, joilla on neuropsykiatrisia tai erityisen vaikeita käyttäytymisongelmia. Lapsilla voi olla kognitiivisen toimintakyvyn vajausta tai muu vastaava sairaus tai vamma. Lapsilla voi olla psyykkisiä ongelmia, kommunikointi- ja oppimisongelmia, joihin liittyy erityisen vaikeita käyttäytymisongelmia ja väkivaltaista käytöstä. Lapsilla saattaa olla myös jatkuvan valvonnan ja aikuisen läsnäolon tarvetta.  Laadukkaana ja tuloksellisena palveluna pidetään asiakkaan tarpeisiin vastaavaa, tarpeen mukaan joustavaa ja asiakkaita arvostavaa palvelua. Tärkeänä arvona pidetään asiakaslähtöisyyttä ja toiminnan läpinäkyvyyttä. Palvelua toteutetaan lapsen asiakassuunnitelman mukaisesti. Palvelua toteutettaessa on lisäksi selvitettävä lapsen toivomukset ja mielipide sekä otettava ne huomioon lapsen iän ja kehitystason edellyttämällä tavalla.   Henkilöstövaatimuksena on vammaisten lasten asumispalvelussa ja lastensuojelun laitoshoidossa hyväksytyt ja vaaditut sosiaali- ja terveysalan koulutusvaatimukset. Lisäksi henkilöstöltä vaaditaan vankkaa kehitysvamma-alan osaamista.    Tietopyyntö ei velvoita hankintayksikköä suorittamaan varsinaista hankintaa tai toteuttamaan hankintaa tietopyynnössä kuvatulla tavalla.  Hankintayksikkö ei ole velvollinen ottamaan huomioon tietopyynnöllä saatuja vastauksia tarjouspyynnön valmistelussa.  Tietopyyntöön vastaamisesta ei makseta korvausta. Tietopyyntöön vastaaminen ei sido osallistujia tarjouskilpailuun osallistumiseen, eikä ole myöskään edellytyksenä myöhemmin varsinaiseen tarjouskilpailuun osallistumiselle.  Tietopyyntöön vastaaminen tai vastaamatta jättäminen ei vaikuta tarjoajan asemaan varsinaisessatarjouskilpailussa.  Tietopyynnöllä kerätyt tiedot säilyvät täysin luottamuksellisina ja niitä tullaan käyttämään ainoastaan hankinnan suunnitteluun. Annetut vastaukset tulevat vain hankintayksikön käyttöön.  TIETOPYYNTÖÖN VASTAAMINEN Palveluntuottaja voi osallistua tietopyyntöön lähettämällä määräaikaan 15.12.2023 klo 14 mennessä yhteystietonsa tällä tietopyynnöllä. Ilmoittautumisia ei oteta vastaan muulla tavalla.  Yhteystietonsa jättäneille lähetetään sähköpostitse lisätietoa palvelusta sekä tarkemmat tietopyyntökysymykset. Samassa sähköpostissa on määräaika kysymyksiin vastaamiseen.  Tarvittaessa järjestetään lisäksi erillinen markkinavuoropuhelutilaisuus."
"2023-140008";;"2023-12-01T09:12:22.541Z";"95002";"0";"Kansallinen hankintailmoitus";"Nuolukivien toimitukset, hirvilupa-alueet Etelä-Suomi";;;;"03000000";"Metsähallitus";;;;;"0116726-7";"PL 94 01301 Vantaa FI";"FI1C";"Etelä-Suomi ";"2023-12-18T14:00:00Z";"Ei";"Ei";"0";;"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Kyllä";"Ei";"Ei";"Kyllä";"Ei";;"Kyllä";"Kyllä";"";"open";"supplies";"";;"Metsähallitus Eräpalvelut on vuosittain osana riistanhoitotyötä hankkinut nuolukiviä, jotka osoitetaan riistanhoitoyhdistysten /hirvenmetsästäjien noudettaviksi paikkakunnalla olevasta myymälästä. Metsähallitus vahvistaa toimitettavien nuolukivien määrän vuosittain.  Hankinnan kohteena on nuolukivien toimitukset, nouto myymälästä.  Noutoja varten on määritelty alueet ja paikkakunnat (liite 1 Tarjouslomake), joissa nuolukivien noudon tulisi olla mahdollista.               Hankinnan kohteena ovat nuolukivien toimitukset myymälänoutoina.  Hankinta-alueet ovat:  1. Pohjois-Karjalan alue 2. Pohjois- ja Etelä-Savo 3. Keski-Suomi 4. Häme  Hankinta-alueiden paikkakunnat on ilmoitettu tarjouspyynnön liitteellä 1 Tarjouslomake.   Osa-tarjoukset ovat sallittu, tarjouksen voi jättää yhdelle tai useammalle tarjouslomakkeella ilmoitetulle paikkakunnalle.  Tarjoaja voi jättää tarjouksen myös ilmoitetun paikkakunnan lähellä olevasta, muulla paikkakunnalla sijaitsevasta myymälästä. Lähellä olevilla paikkakunnilla olevat myymälät voidaan huomioida noutoverkostoa täydentävinä.   Valittujen tarjoajien kanssa solmitaan tarjouspyynnön liitteen 2 mukainen sopimus, joka on voimassa toistaiseksi.   Sopimuskaudella tilaukset toimitetaan Metsähallituksen tilausjärjestelmän (Basware, P2P) kautta. Sopimustoimittajan tulee Metsähallituksen pyynnöstä rekisteröityä tilausjärjestelmään (maksuton) ja sitoutua vastaanottamaan tilaukset sähköpostilla."
"2023-002611";"";"2023-12-01T08:30:10.774Z";"0";"2256";"Hankintailmoitus (TED eF16)";"Testihenkilöiden hankintapalvelu käyttäjä- ja käytettävyystutkimuksiin";"";"";"";"79000000, 72000000, 79300000";"Kansaneläkelaitos";"";"";"";"";"0246246-0";"PL 450 00056 Kela FIN";"";"";"2024-01-03T10:00:00Z";"Ei";"Ei";;;"Kyllä";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"";"Kyllä";"Ei";;"Kyllä";"Kyllä";"";"open";"services";"";;"Testihenkilöiden hankintapalvelu käyttäjä- ja käytettävyystutkimuksiin Kelan strategian tavoitteen keskiössä on asiakasnäkökulma. Kela haluaa osallistaa asiakkaitaan palveluidensa ja järjestelmiensä kehitystyössä, jotta ne palvelevat asiakkaiden tarpeita mahdollisimman hyvin. Tämän kilpailutuksen tavoitteena on solmia hankintasopimus yhden (1) sopimuskumppanin kanssa, joka voivat toteuttaa testihenkilöiden hankintapalvelua Kelan käyttäjä- ja käytettävyystutkimuksiin.,"
"2023-002609";"";"2023-12-01T08:30:10.583Z";"0";"2254";"Hankintailmoitus (TED eF16)";"Oulun Infra-liikelaitoksen tuottamien katu- ja viheralueiden kunnossapitopalveluiden ja infrarakentamisen kilpailutus ja liikelaitoksen toiminnallisen osan liikkeenluovutus";"";"";"";"45200000, 34990000, 45100000, 45112710, 45112723, 45213310, 45213315, 45230000, 45233000, 45233100, 45233140, 45233141, 45233200, 45233221, 45233290, 45236100, 45236110, 45236119, 45240000, 45262000, 45316200, 50200000, 50230000, 50700000, 50760000, 70330000, 77000000, 77300000, 77320000, 77340000, 79950000, 90000000, 90600000, 90610000, 90620000, 92610000";"Oulun kaupunki";"";"";"";"";"0187690-1";"kirjaamo, PL 71 (Kansankatu 55A) 90015 Oulun kaupunki FIN";"";"";"2024-01-02T10:00:00Z";"Ei";"Ei";;;"Kyllä";"Kyllä";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"";"Kyllä";"Ei";;"Ei";"Kyllä";"";"neg-w-call";"works services";"";;"Oulun Infra-liikelaitoksen tuottamien katu- ja viheralueiden kunnossapitopalveluiden ja infrarakentamisen kilpailutus ja liikelaitoksen toiminnallisen osan liikkeenluovutus Tämä on Osallistumispyyntö neuvottelumenettelyyn, jonka tavoitteena on Oulun kaupungin (jatkossa myös ""hankintayksikkö"") Oulun Infra-liikelaitoksen tuottamien katu- ja viheralueiden kunnossapitopalveluiden ja infrarakentamisen kilpailutus ja liikelaitoksen toiminnallisen osan liikkeenluovutus."
"2023-002602";"";"2023-12-01T08:30:09.896Z";"0";"2250";"Hankintailmoitus (TED eF16)";"Päijät-Hämeen hyvinvointialue: HR-palveluiden sekä toiminnan kehittämiseen liittyvien asiantuntijapalveluiden puitejärjestely";"";"";"";"79400000";"Päijät-Hämeen hyvinvointialue";"";"";"";"";"3221309-4";"Keskussairaalankatu 7 15850 Lahti FIN";"";"";"2024-01-12T14:00:00Z";"Ei";"Kyllä";;;"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"";"Kyllä";"Ei";;"Ei";"Kyllä";"";"open";"services";"";;"Päijät-Hämeen hyvinvointialue pyytää tarjouksia tämän tarjouspyynnön ja sen liitteiden mukaisista asiantuntijapalveluista neljän vuoden sopimuskaudelle. Kyseessä on puitejärjestely, jossa hankinta on jaettu kahdeksaan (8) osa-alueeseen. Suunnitelman mukainen sopimuskausi 04/2024%u201304/2028. Hankinta koostuu kahdeksasta (8) osa-alueesta."
"2023-002590";"";"2023-12-01T08:30:08.201Z";"0";"2241";"Hankintailmoitus (TED eF16)";"Matkatoimistopalvelut 2024-2028";"";"";"";"63510000, 79950000";"Hansel Oy";"";"";"";"";"0988084-1";"PL 1386 00101 Helsinki FIN";"";"";"2024-01-15T10:00:00Z";"Ei";"Kyllä";;;"Ei";"Ei";"Ei";"Kyllä";"Ei";"Ei";"Ei";"Ei";"Ei";"Kyllä";"Ei";;"Ei";"Kyllä";"";"open";"services";"";;"Matkatoimistopalvelut 2024-2028 HANKINNAN KOHDE"
"2023-002585";"";"2023-12-01T08:30:07.151Z";"0";"2237";"Hankintailmoitus (TED eF16)";"Konsulttipalvelut Kanta-Hämeen hyvinvointialueelle (2024-2027)";"";"";"";"79000000, 72000000, 79400000, 71315200, 79411000, 71000000, 79100000";"Kanta-Hämeen hyvinvointialue";"";"";"";"";"3221307-8";"Sibeliuksenkatu 2 13100 Hämeenlinna FIN";"";"";"2024-01-03T10:00:00Z";"Ei";"Kyllä";"4700000";;"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"";"Ei";"Ei";;"Ei";"Kyllä";"";"open";"services";"";;"Kanta-Hämeen hyvinvointialue kilpailuttaa konsulttipalveluiden puitesopimuksen. Tarjouspyynnöstä kiinnostuneen tarjoajan tulee tutustua tarjouspyynnön liitteeseen 1, jossa on kuvattu tarkemmin eri osa-alueet. Liitteestä löytyvät myös valintaperusteet ja tarkemmat tiedot valittavien toimittajien määristä."
"2023-002584";"";"2023-12-01T08:30:06.959Z";"0";"2236";"Jälki-ilmoitus - SOTE- ja muut erityiset palvelut (TED eF33)";"Yksilötoimintaterapia (suomenkielinen), Kelan Läntinen vakuutuspiiri ";"";"";"";"85000000";"Kansaneläkelaitos";"";"";"";"";"0246246-0";"Nordenskiöldinkatu 12 00250 Helsinki FIN";"";"";;"Ei";"Ei";"30900000";"EUR";"Kyllä";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"";"Kyllä";"Ei";;"Ei";"Kyllä";"Kyllä";"open";"services";"Ann-Mari Tammenlaakso Tmi / Toimintaterapia Tammenlaakso (2768804-4)//Attendo Terapia Oy / Kaarina (2079628-8)//Coronaria Contextia Oy / Naantali (1824918-9)//Coronaria Contextia Oy / Pori (1824918-9)//Coronaria Contextia Oy / Rauma (1824918-9)//Coronaria Contextia Oy / Turku (1824918-9)//Coronaria Contextia Oy / Uusikaupunki (1824918-9)//Coronaria Contextia Oy / Vaasa (1824918-9)//Diakon Palvelut Oy / DiakonTerveys Metsämiehenkatu (0215490-0)//Ergoterapeut Carina Sandberg (1417541-8)//Finssi ky / Kunto-Winssi (2160379-1)//Folkhälsan Välfärd AB / Rehabilitering Jakobstad (1801682-8)//Folkhälsan Välfärd AB /Rehabilitering Korsholm (1801682-8)//HABS kuntoutus reha bilitering oy / Ombrelo Vaasa (2188035-0)//HevosKipinä Oy (2597462-9)//Hjärtesak/Catja Sell oy (3151765-1)//Ilona Kuntoutus Oy / Varastokatu (2724472-6)//Jaana Kivilahti (1585859-5)//Kunnon Arki (2675830-3)//Laitilan Terveyskoti oy (3232305-8)//Matter Katri Matomäki Oy / Porin toimipiste (3252842-4)//Matter Katri Matomäki Oy / Rauman toimipiste (3252842-4)//Mehiläinen oy / Mehiläinen terapiaklinikka Fysios Salo (1927556-5)//Mehiläinen oy / Mehiläinen Turku (1927556-5)//Metodin terapia- ja hyvinvointitalo oy (3158787-9)//Mia Nummi Oy Turku (2975891-5)//Minna Kautto / Villa Vekara (1306215-5)//MLLn Lasten ja Nuorten Kuntoutussäätiö (1571059-0)//Neuroliitto ry, Maskun neurologinen kuntoutuskeskus (0282482-0)//Neuropiste Oy, Turku (2910875-2)//Occu oy (3172109-7)//Salettia Kuntoutuspalvelut Oy /Terapia-asema Kuperkeikka (3017560-2)//Sirpa Kauranen Lasten toimintaterapia (1337466-9)//Sonja Miettinen (2103522-9)//Sonjan toimintaterapia (2548994-9)//Stiftelsen Nykarleby sjukhem sr (0670702-3)//Suomen Terveystalo Oy / Attentio Turku (1093863-3)//T:mi Susanne Rättö / Terapiapiste FUNctio (2608855-7)//TeraMia (2871234-1)//Terapiakerttu (2926439-2)//Terapiakeskus Action oy, Nousiainen (3210899-9)//Terapiakeskus Action oy, Rauma (3210899-9)//Terapiapalvelu TeraPriimus (3156009-4)//Terapiapalvelut Kati Kajander / Terapiapalvelu Onnen Aistit (2770087-5)//Terapiatalo Noste Oy / Turku (2878916-2)//Terapiatalo Tempo OSK (2954223-3)//Terapiayhdistys Sateenkaari ry / Lasten ja nuorten terapia-asema Sateenkaari (1464084-2)//Terapiina Oy (1983065-3)//Tmi Erja Kähäri-Laine / Terapia-asema Kuperkeikka (1339970-0)//Tmi Erna Törmälehto / Jäneskorven tila (1326754-8)//Tmi Patrick Mellenius (2389495-9)//Tmi Sami Haltia (1885653-6)//Tmi Tiina Huhtala, toimintaterapeutti / Terapiapiste FUNctio (2255584-0)//TMI Toimintaterapeutti Sanna Fredriksson / Kuntoutusasema Kompassi (1307873-9)//Tmi Toimintaterapia Johanna Jaakkola / Activus Oy Lasten ja nuorten terapiakeskus (2666022-6)//Tmi Vedenheimo (2242015-3)//Tmi Veera Niemi / Terapiapiste FUNctio (2693572-8)//ToimiJa Oy (3265422-8)//Toiminimi Toimintaterapeutti Karoliina Vähä-Kouvola / Kuntoutusasema Kompassi (1656016-8)//Toiminimi Toimintaterapeutti Nina Peussa / Terapia-asema Kuperkeikka (2801257-2)//TOIMINNAKSI / Terapiapiste Fikkari (3177010-4)//Toiminta- ja ratsastusterapeutti SRT Anne Mensakov / Terapiatrio (1918623-9)//Toiminta- ja ratsastusterapia J.Pohjola Oy, Erkontie (2561718-9)//Toiminta- ja ratsastusterapia J.Pohjola Oy, Ruunikkokatu (2561718-9)//Toimintaterapeutti Jenni Mäenpää Tmi (2253165-4)//Toimintaterapeutti Niina Saarinen (2864418-2)//Toimintaterapeutti Teija Ekholm / Terapiapiste Fikkari (1802288-1)//Toimintaterapeutti Virva Hämäläinen / Activus oy, Lasten ja nuorten terapiakeskus (1301858-4)//Toimintaterapia Emmi Pajamäki / Terapia Taikamatto (2801484-2)//Toimintaterapia Hebla Bjon, Heblanhopsa tmi / Terapiapiste Fikkari (1874048-8)//Toimintaterapia Ihander Oy (2583602-3)//Toimintaterapia ja seksuaalineuvonta K.Larjama (1314798-4)//Toimintaterapia Jaana Sillanpää (1321203-7)//Toimintaterapia Kari Löytönen Oy (2285022-5)//Toimintaterapia Marina Strand (1421353-3)//Toimintaterapia Marjo Anttila (2197901-9)//Toimintaterapia Mirka Väistö / Oikokujan terapiatila (2329557-7)//Toimintaterapia Pilvi Tarkiainen (2778486-1)//Toimintaterapia Päivänsäde (2340009-0)//Toimintaterapia Sini Pynnönen (3117964-8)//Toimintaterapia Sylvi Lyyra (2445363-7)//Toimintaterapia Taito (3002935-7)//Toimintaterapia Tammenterho Taina Tammi tmi / Villa Vekara (1327447-3)//Toimintaterapia Tempo (2536312-3)//Toimintaterapia Tiina Aalto (2876653-4)//Toimintaterapia TOI-pro (2922449-7)//ToimintaterapiaNygård (1869068-7)//Toitera (2617249-2)//Tulkkaus Silta Oy (2828256-4)//Tutoris Oy, Lounais-Suomen Erikoiskuntoutus (1844559-3)//Tutoris Oy, Lounais-Suomen Erikoiskuntoutus/ Raision toimipiste (1844559-3)//Tutoris Oy, Lounais-Suomen Erikoiskuntoutus/ Salon toimipiste (1844559-3)//Tutoris Oy, Pohjanmaan Erikoiskuntoutus (1844559-3)//Vihreä eteinen Oy (2715850-2)";"30900000";"Yksilötoimintaterapia (suomenkielinen), Kelan Läntinen vakuutuspiiri  Hankinnan kohteena oleva palvelu on kuvattu liitteenä 1 olevassa Kelan vaativan lääkinnällisen kuntoutuksen palvelukuvauksessa, voimassa 1.1.2023.  Sopimuskausi on 1.12.2022%u221231.12.2024. Kuntoutujien sopimuksen mukaiset terapiat alkavat vasta 1.1.2023. "
"2023-002580";"";"2023-12-01T08:30:06.678Z";"0";"2232";"Jälki-ilmoitus - SOTE- ja muut erityiset palvelut (TED eF33)";"Koulupsykologiset tutkimukset";"";"";"";"85121270";"Etelä-Pohjanmaan hyvinvointialue";"";"";"";"";"3221323-8";"Hanneksenrinne 7 60220 Seinäjoki FIN";"";"";;"Ei";"Ei";;"EUR";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"Ei";"";"Ei";"Ei";;"Ei";"Ei";"Ei";"open";"services";"";"2700000";"Etelä-Pohjanmaan hyvinvointialue pyytää tarjoustanne koulupsykologisten tutkimusten hankinnasta. Hankinnan kohteena on Etelä-Pohjanmaan hyvinvointialueen esi-, perus- ja toisen asteen oppilaitosten koulupsykologiset tutkimukset. , Suupohjan alue - Isojoki, Karijoki, Kauhajoki, Teuva Ks. tarkka kuvaus hankittavasta palvelusta tarjouspyynnön liitteeltä Palvelukuvaus., Kurikan alue - Kurikka Ks. tarkka kuvaus hankittavasta palvelusta tarjouspyynnön liitteeltä Palvelukuvaus., Ilmajoen alue - Ilmajoki Ks. tarkka kuvaus hankittavasta palvelusta tarjouspyynnön liitteeltä Palvelukuvaus., Seinäjoen alue - Seinäjoki, Isokyrö Ks. tarkka kuvaus hankittavasta palvelusta tarjouspyynnön liitteeltä Palvelukuvaus., Lapuan alue - Lapua Ks. tarkka kuvaus hankittavasta palvelusta tarjouspyynnön liitteeltä Palvelukuvaus., Kaksineuvoisen alue - Kauhava, Evijärvi Ks. tarkka kuvaus hankittavasta palvelusta tarjouspyynnön liitteeltä Palvelukuvaus., Järvi-Pohjamaan alue - Alajärvi, Lappajärvi, Vimpeli Ks. tarkka kuvaus hankittavasta palvelusta tarjouspyynnön liitteeltä Palvelukuvaus., Psykologin tuntityö (ei vaikuta vertailuhintaan) Ks. tarkka kuvaus hankittavasta palvelusta tarjouspyynnön liitteeltä Palvelukuvaus.,"
